Yishun Street 11 (Blk 128),1
Yishun Street 11 (Blk 130),1
Location,No. of cases
Bartley Road,1
Eden Grove,27
Jalan Labu Ayer,1
Jalan Labu Manis,2
Serangoon Avenue 1 (Blk 401),1
Serangoon Avenue 1 (Blk 402),1
Sunshine Terrace,6
Location,No. of cases
Corporation Road,2
Lakeside Drive,22
Location,No. of cases
Guillemard Road,5
Lorong 28 Geylang,7
Lorong 30 Geylang,2
Lorong 32 Geylang,4
Lorong 34 Geylang,1
Location,No. of cases
Bukit Batok Street 11 (Blk 161),2
Bukit Batok Street 11 (Blk 162),1
Bukit Batok Street 11 (Blk 163),1
Bukit Batok Street 11 (Blk 164),2
Location,No. of cases
Jalan Rajah (Blk 103),2
Jalan Rajah (Blk 104),1
Jalan Rajah (Blk 105),3
Location,No. of cases
Bishan Street 22 (Blk 246),2
Bishan Street 22 (Blk 249),1
Bishan Street 22 (Blk 251),1
Bishan Street 22 (Blk 254),1
Location,No. of cases
Kang Ching Road,1
Yuan Ching Road,3
Location,No. of cases
"",
Kang Choo Bin Road2,
Simon Place,2
Location,No. of cases
Woodlands Avenue 6 (Blk 627),1
Woodlands Ring Road (Blk 628A),1
Woodlands Ring Road (Blk 630),2
Location,No. of cases
Bukit Batok East Avenue 4 (Blk 254),2
Bukit Batok East Avenue 4 (Blk 268),1
Location,No. of cases
Choa Chu Kang Central (Blk 230),2
Choa Chu Kang Central (Blk 232),1
Location,No. of cases
Eng Kong Terrace,1
Lorong Kismis,2
Location,No. of cases
Fernvale Link (Blk 413A),1
Fernvale Road (Blk 409A),1
Fernvale Road (Blk 409B),1
Location,No. of cases
Hougang Street 21 (Blk 222),3
Location,No. of cases
Lorong 3 Geylang,2
Upper Boon Keng Road (Blk 38),1
Location,No. of cases
Lorong Lew Lian (Blk 8),1
Serangoon Avenue 1 (Blk 425),1
Serangoon Central (Blk 423),1
Location,No. of cases
Lorong Sarina,3
Location,No. of cases
Seletar Hills Drive,2
Location,No. of cases
Woodlands Street 13 (Blk 108),1
Woodlands Street 13 (Blk 109),1
Marsiling Rise (Blk 118),1
Location,No. of cases
Yishun Avenue 5 (Blk 740),1
Yishun Ring Road (Blk 136),1
Yishun Street 11 (Blk 145),1
Location,No. of cases
Admiralty Link (Blk 403),1
Admiralty Link (Blk 489),1
Location,No. of cases
Ang Mo Kio Avenue 4 (Blk 624),1
Ang Mo Kio Avenue 9 (Blk 620),1
Location,No. of cases
Buangkok Crescent (Blk 979C),1
Buangkok Crescent (Blk 980B),1
Location,No. of cases
Chai Chee Road (Blk 10),1
Chai Chee Road (Blk 11),1
Location,No. of cases
Charlton Lane,1
Surin Avenue,1
Location,No. of cases
"",
Choa Chu Kang Crescent (Blk 677)1,,
Choa Chu Kang Crescent (Blk 679),1,
Location,No. of cases,
Choa Chu Kang North 6,1,
Choa Chu Kang Street 54 (Blk 769),1,
Location,No. of cases,
Flower Road,1,
Palm Grove Avenue,1,
Location,No. of cases,
Geylang Bahru (Blk 55),1,
Geylang Bahru (Blk 57),1,
Location,No. of cases,
Hougang Avenue 7,1,
Hougang Avenue 7 (Blk 345),1,
Location,No. of cases,
Hougang Avenue 8 (Blk 540),1,
Hougang Avenue 8 (Blk 541),1,
Location,No. of cases,
Jalan Rajah (Blk 101),2,
Location,No. of cases,
Jalan Tani,1,
Hougang Avenue 2 (Blk 720),1,
Location,No. of cases,
Jurong West Street 73 (Blk 743),1,
Jurong West Street 73 (Blk 750),1,
Location,No. of cases,
King Georges Avenue (Blk 804),1,
King Georges Avenue (Blk 805),1,
Location,No. of cases,
Serangoon Avenue 3 (Blk 330),1,
Serangoon Avenue 3 (Blk 330),1,
Location,No. of cases,
Ubi Avenue 1 (Blk 323),1,
Ubi Avenue 1 (Blk 324),1,
Location,No. of cases,
Upper Serangoon Road,1,
Tai Thong Crescent,1,
click here.,,
onnect With Us,"GO TONEA Website",
"",,
"",,
"",Feedback FAQS,Contact Us
Newsroom,Resources,Contact
Dengue Cluster Information @ NEA 2013,,
Click here for more NEA information in OneMap,,
ality with active transmission where intervention is targeted.  It i,,
hin 14 days and are located within 150m of each other (based o,,
movement history).  The clusters are categorised according t,,
also accompanies each alert level. There are 3 alert levels:,,
"",Alert Level,
s,Red,
es,Yellow,
t 21 days,Green,
"'s current vector control intervention.  Please click on the clust",,
"",Breakdown,
Location,No. of cases,
Ava Road,,1
Balestier Road,,21
Jalan Ampas,,4
Jalan Kemaman,,1
Kim Keat Close,,3
Kim Keat Lane,,2
Kim Keat Road,,8
Lorong Ampas,,3
Lorong Limau,,2
Lorong Limau (Blk 76),,8
Lorong Limau (Blk 77),,2
Minbu Road,,1
Pegu Road,,1
Whampoa Drive (Blk 82)1,
Location,No. of cases
Canberra Drive,3
Yishun Avenue 7 (Blk 170),3
Yishun Avenue 7 (Blk 171),1
Yishun Avenue 7 (Blk 172),8
Yishun Avenue 7 (Blk 173),5
Yishun Avenue 7 (Blk 174),1
Yishun Avenue 7 (Blk 175),2
Yishun Ring Road (Blk 165),8
Yishun Ring Road (Blk 166),6
Yishun Ring Road (Blk 167),2
Yishun Street 11 (Blk 122),3
Yishun Street 11 (Blk 125),1
Yishun Street 11 (Blk 128),1
Yishun Street 11 (Blk 130),1
Location,No. of cases
Geylang Road,1
Guillemard Road,8
Lorong 4 Geylang,5
Lorong 6 Geylang,8
Lorong 8 Geylang,7
Lorong 14 Geylang,8
Lorong 16 Geylang,5
Lorong 18 Geylang,1
Lorong 20 Geylang,1
Location,No. of cases
Bartley Road,1
Eden Grove,28
Jalan Labu Ayer,1
Jalan Labu Manis,2
Jalan Labu Merah,1
Serangoon Avenue 1 (Blk 401),1
Serangoon Avenue 1 (Blk 402),1
Sunshine Terrace,6
Upper Serangoon Road,1
Location,No. of cases
Corporation Road,3
Lakeside Drive,27
Location,No. of cases
Jalan Rajah (Blk 103),2
Jalan Rajah (Blk 104),1
Jalan Rajah (Blk 105),4
Location,No. of cases
Bishan Street 22 (Blk 238),1
Bishan Street 22 (Blk 246),2
Bishan Street 22 (Blk 249),1
Bishan Street 22 (Blk 251),1
Bishan Street 22 (Blk 254),1
Location,No. of cases
Bukit Batok Street 11 (Blk 161),2
Bukit Batok Street 11 (Blk 162),1
Bukit Batok Street 11 (Blk 163),1
Bukit Batok Street 11 (Blk 164),2
Location,No. of cases
Kranji Road,5
Location,No. of cases
Seletar Hills Drive,5
Location,No. of cases
Eng Kong Terrace1,
Lorong Kismis,3
Location,No. of cases
Kang Choo Bin Road,2
Simon Place,2
Location,No. of cases
Woodlands Avenue 6 (Blk 627),1
Woodlands Ring Road (Blk 628A),1
Woodlands Ring Road (Blk 630),2
Location,No. of cases
Yishun Avenue 5 (Blk 740),1
Yishun Ring Road (Blk 136),1
Yishun Ring Road (Blk 138),1
Yishun Street 11 (Blk 145),1
Location,No. of cases
Bukit Batok East Avenue 4 (Blk 254),2
Bukit Batok East Avenue 4 (Blk 268),1
Location,No. of cases
Choa Chu Kang Central (Blk 230),2
Choa Chu Kang Central (Blk 232),1
Location,No. of cases
Geylang Bahru (Blk 55),1
Geylang Bahru (Blk 57),1
Geylang Bahru (Blk 68),1
Location,No. of cases
Happy Avenue North,1
Macpherson Road,2
Location,No. of cases
Jalan Keli,2
Sin Ming Road (Blk 24),1
Location,No. of cases
Jurong West Street 73 (Blk 732),1
Jurong West Street 73 (Blk 743),1
Jurong West Street 73 (Blk 750),1
Location,No. of cases
Jurong West Street 91 (Blk 941),2
Jurong West Street 91 (Blk 944),1
Location,No. of cases
Kitchener Road,3
Location,No. of cases
Lorong Sarina,3
Location,No. of cases
Ang Mo Kio Avenue 1 (Blk 336),1
Ang Mo Kio Avenue 1 (Blk 337),1
Location,No. of cases
Bedok North Avenue 1 (Blk 521),1
Bedok North Avenue 1 (Blk 548),1
Location,No. of cases
Charlton Lane,1
Surin Avenue,1
Location,No. of cases
Choa Chu Kang Crescent (Blk 677),1
Choa Chu Kang Crescent (Blk 679),1
Location,No. of cases
Choa Chu Kang North 6,1
Choa Chu Kang Street 54 (Blk 769),1
"",
LocationNo. of cases,,
Compassvale Crescent (Blk 296C),2,
Location,No. of cases,
Hougang Avenue 8 (Blk 540),1,
Hougang Avenue 8 (Blk 541),1,
Location,No. of cases,
Jalan Rajah (Blk 101),2,
Location,No. of cases,
Jurong West Avenue 1 (Blk 437),1,
Jurong West Avenue 1 (Blk 440),1,
Location,No. of cases,
Lorong 2 Toa Payoh (Blk 116),2,
Location,No. of cases,
Race Course Road (Blk 682),1,
Race Course Road (Blk 685),1,
Location,No. of cases,
Rivervale Drive (Blk 188D),1,
Rivervale Drive (Blk 190A),1,
Location,No. of cases,
Serangoon Avenue 3 (Blk 323),1,
Serangoon Avenue 3 (Blk 330),1,
Location,No. of cases,
Tai Thong Crescent,1,
Upper Serangoon Road,1,
Location,No. of cases,
Tanjong Katong Road,2,
Location,No. of cases,
Toh Guan Road (Blk 269),1,
Toh Guan Road (Blk 277),1,
Location,No. of cases,
Yishun Street 11 (Blk 153),1,
Yishun Street 11 (Blk 154),1,
click here.,,
onnect With Us,"GO TONEA Website",
"",,
"",,
"",Feedback FAQS,Contact Us
Newsroom,Resources,Contact
Dengue Cluster Information @ NEA 2013,,
Click here for more NEA information in OneMap,,
ality with active transmission where intervention is targeted.  It i,,
hin 14 days and are located within 150m of each other (based o,,
movement history).  The clusters are categorised according t,,
also accompanies each alert level. There are 3 alert levels:,,
"",Alert Level,
s,Red,
es,Yellow,
t 21 days,Green,
"'s current vector control intervention.  Please click on the clust",,
"",Breakdown,
Location,No. of cases,
Ava Road,,1
Balestier Road,,22
Jalan Ampas,,4
Jalan Kemaman,,1
Kim Keat Close,,3
Kim Keat Lane,,2
Kim Keat Road,,8
Lorong Ampas,,5
Lorong Limau,,2
Lorong Limau (Blk 76),,9
Lorong Limau (Blk 77),,2
Minbu Road,,1
Pegu Road,,1
Whampoa Drive (Blk 82)1,
Location,No. of cases
Bartley Road,1
Eden Grove,28
Jalan Labu Ayer,2
Jalan Labu Manis,2
Jalan Labu Merah,1
Serangoon Avenue 1 (Blk 401),1
Serangoon Avenue 1 (Blk 402),1
Serangoon Avenue 1 (Blk 403),1
Sunshine Terrace,6
Upper Serangoon Road,3
Location,No. of cases
Canberra Drive,3
Yishun Avenue 7 (Blk 170),3
Yishun Avenue 7 (Blk 171),2
Yishun Avenue 7 (Blk 172),8
Yishun Avenue 7 (Blk 173),5
Yishun Avenue 7 (Blk 174),1
Yishun Avenue 7 (Blk 175),2
Yishun Ring Road (Blk 165),8
Yishun Ring Road (Blk 166),6
Yishun Ring Road (Blk 167),2
Yishun Street 11 (Blk 122),3
Yishun Street 11 (Blk 125),1
Yishun Street 11 (Blk 128),1
Yishun Street 11 (Blk 130),1
Location,No. of cases
Geylang Road,1
Guillemard Road,9
Lorong 4 Geylang,4
Lorong 6 Geylang,8
Lorong 8 Geylang,9
Lorong 14 Geylang,8
Lorong 16 Geylang,5
Lorong 18 Geylang,1
Lorong 20 Geylang,1
"",
Location,No. of cases
Corporation Road,3
Lakeside Drive,30
Location,No. of cases
Jalan Rajah (Blk 103),2
Jalan Rajah (Blk 104),1
Jalan Rajah (Blk 105),4
Location,No. of cases
Bishan Street 22 (Blk 238),1
Bishan Street 22 (Blk 246),2
Bishan Street 22 (Blk 249),1
Bishan Street 22 (Blk 251),1
Bishan Street 22 (Blk 254),1
Location,No. of cases
Bukit Batok Street 11 (Blk 161),2
Bukit Batok Street 11 (Blk 162),1
Bukit Batok Street 11 (Blk 163),1
Bukit Batok Street 11 (Blk 164),2
Location,No. of cases
Kranji Road,5
Location,No. of cases
Lorong Sarina,5
"",
LocationNo. of cases,
Seletar Hills Drive,5
Location,No. of cases
Eng Kong Terrace,1
Lorong Kismis,3
Location,No. of cases
Jurong West Street 73 (Blk 732),1
Jurong West Street 73 (Blk 743),1
Jurong West Street 73 (Blk 748),1
Jurong West Street 73 (Blk 750),1
Location,No. of cases
Kang Choo Bin Road,2
Simon Place,2
Location,No. of cases
Tampines Street 21 (Blk 255),1
Tampines Street 21 (Blk 262),1
Tampines Street 21 (Blk 265),2
Location,No. of cases
Woodlands Avenue 6 (Blk 627),1
Woodlands Ring Road (Blk 628A),1
Woodlands Ring Road (Blk 630),2
Location,No. of cases
Yishun Avenue 5 (Blk 740),1
Yishun Ring Road (Blk 136),1
Yishun Ring Road (Blk 138),1
Yishun Street 11 (Blk 145),1
Location,No. of cases
Bukit Batok East Avenue 4 (Blk 254),2
Bukit Batok East Avenue 4 (Blk 268),1
Location,No. of cases
Choa Chu Kang Central (Blk 230),2
Choa Chu Kang Central (Blk 232),1
Location,No. of cases
Geylang Bahru (Blk 55),1
Geylang Bahru (Blk 57),1
Geylang Bahru (Blk 68),1
Location,No. of cases
Happy Avenue North,1
Macpherson Road,2
Location,No. of cases
Jalan Keli,2
Sin Ming Road (Blk 24),1
Location,No. of cases
Jurong West Street 91 (Blk 941),2
Jurong West Street 91 (Blk 944),1
Location,No. of cases
Kitchener Road,3
Location,No. of cases
Moonstone Lane,3
Location,No. of cases
Toh Guan Road (Blk 269),1
Toh Guan Road (Blk 277),2
Location,No. of cases
Ang Mo Kio Avenue 1 (Blk 336),1
Ang Mo Kio Avenue 1 (Blk 337),1
Location,No. of cases
"",
Bedok North Avenue 1 (Blk 521)1,,
Bedok North Avenue 1 (Blk 548),1,
Location,No. of cases,
Charlton Lane,1,
Surin Avenue,1,
Location,No. of cases,
Choa Chu Kang Crescent (Blk 677),1,
Choa Chu Kang Crescent (Blk 679),1,
Location,No. of cases,
Choa Chu Kang North 6,1,
Choa Chu Kang Street 54 (Blk 769),1,
"",,
Location,No. of cases,
Compassvale Crescent (Blk 296C),2,
Location,No. of cases,
Hougang Avenue 8 (Blk 540),1,
Hougang Avenue 8 (Blk 541),1,
Location,No. of cases,
Jurong West Avenue 1 (Blk 437),1,
Jurong West Avenue 1 (Blk 440),1,
Location,No. of cases,
Lorong 2 Toa Payoh (Blk 116),2,
Location,No. of cases,
Pasir Ris Street 21 (Blk 203),1,
Pasir Ris Street 21 (Blk 211),1,
Location,No. of cases,
Race Course Road (Blk 682),1,
Race Course Road (Blk 685),1,
Location,No. of cases,
Rivervale Drive (Blk 188D),1,
Rivervale Drive (Blk 190A),1,
Location,No. of cases,
Serangoon Avenue 3 (Blk 323),1,
Serangoon Avenue 3 (Blk 330),1,
Location,No. of cases,
Tai Thong Crescent,1,
Upper Serangoon Road,1,
Location,No. of cases,
Tanjong Katong Road,2,
Location,No. of cases,
Yishun Ring Road (Blk 360),1,
Yishun Ring Road (Blk 398),1,
Location,No. of cases,
Yishun Street 11 (Blk 153),1,
Yishun Street 11 (Blk 154),1,
click here.,,
onnect With Us,"GO TONEA Website",
"",,
"",,
"",Feedback FAQS,Contact Us
Newsroom,Resources,Contact
Dengue Cluster Information @ NEA 2013,,
Click here for more NEA information in OneMap,,
ality with active transmission where intervention is targeted.  It i,,
hin 14 days and are located within 150m of each other (based o,,
movement history).  The clusters are categorised according t,,
also accompanies each alert level. There are 3 alert levels:,,
"",Alert Level,
s,Red,
es,Yellow,
t 21 days,Green,
"'s current vector control intervention.  Please click on the clust",,
"",Breakdown,
Location,No. of cases,
Ava Road,,1
Balestier Road,,24
Jalan Ampas,,5
Jalan Kemaman,,1
Kim Keat Close,,3
Kim Keat Lane,,3
Kim Keat Road,,9
Lorong Ampas,,8
Lorong Limau,,2
Lorong Limau (Blk 76),,9
Lorong Limau (Blk 77),,2
Mandalay Road,,1
Minbu Road,,1
"Pegu Road1Prome Road1Whampoa Drive (Blk 82)1",,
"",Prome Road,1
"",Whampoa Drive (Blk 82),1
"",Location,No. of cases
"",Geylang Road,1
"",Guillemard Road,9
"",Lorong 4 Geylang,4
"",Lorong 6 Geylang,8
"",Lorong 8 Geylang,12
"",Lorong 14 Geylang,8
"",Lorong 16 Geylang,6
"",Lorong 18 Geylang,1
"",Lorong 20 Geylang,1
"",Location,No. of cases
"",Bartley Road,1
"",Eden Grove,28
"",Jalan Labu Ayer,2
"",Jalan Labu Manis,2
"",Jalan Labu Merah,1
"",Serangoon Avenue 1 (Blk 401),2
"",Serangoon Avenue 1 (Blk 402),1
"",Serangoon Avenue 1 (Blk 403),1
"",Sunshine Terrace,6
"",Upper Serangoon Road,4
"",Location,No. of cases
"",Canberra Drive,3
"",Yishun Avenue 7 (Blk 170),3
"",Yishun Avenue 7 (Blk 171),3
"",Yishun Avenue 7 (Blk 172),8
"",Yishun Avenue 7 (Blk 173),5
"",Yishun Avenue 7 (Blk 174),1
"",Yishun Avenue 7 (Blk 175),2
"",Yishun Ring Road (Blk 165),8
"",Yishun Ring Road (Blk 166),6
"",Yishun Ring Road (Blk 167),2
"",Yishun Street 11 (Blk 122),3
"",Yishun Street 11 (Blk 125),1
"",Yishun Street 11 (Blk 128),1
"",Yishun Street 11 (Blk 130),1
"",Location,No. of cases
"",Corporation Road,4
"",Lakeside Drive,32
"",Location,No. of cases
"",Bishan Street 22 (Blk 238),1
"",Bishan Street 22 (Blk 246),2
"",Bishan Street 22 (Blk 249),1
"",Bishan Street 22 (Blk 251),2
"",Bishan Street 22 (Blk 254),1
"",Location,No. of cases
"",Jalan Ketumbit,2
"",Seletar Hills Drive,5
"",Location,No. of cases
"",Jalan Rajah (Blk 103),2
"",Jalan Rajah (Blk 104),1
"",Jalan Rajah (Blk 105),4
"",Location,No. of cases
"",Lorong Sarina,6
"",Location,No. of cases
"",Kranji Road,5
"",,
"LocationNo. of casesCommonwealth Drive (Blk 51)1Commonwealth Drive (Blk 52)2Commonwealth Drive (Blk 53)1",,
"",Commonwealth Drive (Blk 51),1
"",Commonwealth Drive (Blk 52),2
"",Commonwealth Drive (Blk 53),1
"",Location,No. of cases
"",Eng Kong Terrace,1
"",Lorong Kismis,3
"",Location,No. of cases
"",Jurong West Street 73 (Blk 732),1
"",Jurong West Street 73 (Blk 743),1
"",Jurong West Street 73 (Blk 748),1
"",Jurong West Street 73 (Blk 750),1
"",Location,No. of cases
"",Pasir Ris Street 21 (Blk 203),1
"",Pasir Ris Street 21 (Blk 211),2
"",Pasir Ris Street 21 (Blk 215),1
"",Location,No. of cases
"",Tampines Street 21 (Blk 255),1
"",Tampines Street 21 (Blk 262),1
"",Tampines Street 21 (Blk 265),2
"",Location,No. of cases
"",Woodlands Avenue 6 (Blk 627),1
"",Woodlands Ring Road (Blk 628A),1
"",Woodlands Ring Road (Blk 630),2
"",Location,No. of cases
"",Yishun Avenue 5 (Blk 740),1
"",Yishun Ring Road (Blk 136),1
"",Yishun Ring Road (Blk 138),1
"",Yishun Street 11 (Blk 145),1
"",Location,No. of cases
"",Bedok Reservoir Road (Blk 103),1
"",Bedok Reservoir Road (Blk 105),1
"",Bedok Reservoir Road (Blk 109),1
"",Location,No. of cases
"",Choa Chu Kang Central (Blk 230),2
"",Choa Chu Kang Central (Blk 232),1
"",Location,No. of cases
"",Geylang Bahru (Blk 55),1
"",Geylang Bahru (Blk 57),1
"",Geylang Bahru (Blk 68),1
"",Location,No. of cases
"",Happy Avenue North,1
"",Macpherson Road,2
"",Location,No. of cases
"",Jalan Keli,2
"",Sin Ming Road (Blk 24),1
"",Location,No. of cases
"",Kitchener Road,3
"",Location,No. of cases
"",Lorong H Telok Kurau,3
"",Location,No. of cases
"",Moonstone Lane,3
"",Location,No. of cases
"",Pasir Ris Street 21 (Blk 219),2
"",Pasir Ris Street 21 (Blk 221),1
"",Location,No. of cases
Yishun Street 11 (Blk 152),1,
"Yishun Street 11 (Blk 153)1Yishun Street 11 (Blk 154)1",,
"",Yishun Street 11 (Blk 154),1
"",Location,No. of cases
"",Ang Mo Kio Avenue 1 (Blk 336),1
"",Ang Mo Kio Avenue 1 (Blk 337),1
"",Location,No. of cases
"",Ang Mo Kio Avenue 3 Blk (212),2
"",Ang Mo Kio Avenue 3 Blk (213),1
"",Location,No. of cases
"",Angsana Avenue,2
"",Lichi Avenue,1
"",Location,No. of cases
"",Balestier Road (near Jalan Dusun),2
"",Location,No. of cases
"",Bedok North Avenue 1 (Blk 521),1
"",Bedok North Avenue 1 (Blk 548),1
"",Location,No. of cases
"",Bedok North Avenue 4 (Blk 104),1
"",Bedok North Avenue 4 (Blk 105),1
"",Location,No. of cases
"",Charlton Lane,1
"",Surin Avenue,1
"",Location,No. of cases
"",Choa Chu Kang Avenue 3 (Blk 411),2
"",Location,No. of cases
"",Choa Chu Kang North 6,1
"",Choa Chu Kang Street 54 (Blk 769),1
"",Location,No. of cases
"",Compassvale Crescent (Blk 296C),2
"",Location,No. of cases
"",Farrer Road,2
"",Location,No. of cases
"",Geylang Road,2
"",Lorong 9 Geylang,1
"",Location,No. of cases
"",Jurong West Avenue 1 (Blk 437),1
"",Jurong West Avenue 1 (Blk 440),1
"",Location,No. of cases
"",Lorong 2 Toa Payoh (Blk 116),2
"",Location,No. of cases
"",Race Course Road (Blk 682),1
"",Race Course Road (Blk 685),1
"",Location,No. of cases
"",Tai Thong Crescent,1
"",Upper Serangoon Road,1
"",Location,No. of cases
"",Tanjong Katong Road,2
"",Location,No. of cases
"",Teban Gardens Road,2
"",Location,No. of cases
"",Telok Blangah Rise (Blk 39),2
"",Location,No. of cases
Toh Guan Road (Blk 269),1,
Toh Guan Road (Blk 277),1,
"",,
"LocationNo. of casesYishun Ring Road (Blk 360)1Yishun Ring Road (Blk 398)1",,
Yishun Ring Road (Blk 360),1,
Yishun Ring Road (Blk 398),1,
click here.,,
onnect With Us,"GO TONEA Website",
"",,
"",,
gency,,,,
Feedback FAQS,Contact Us,,,
tes Resources,Contact,,,
g Ave (Blk,,,,
Dengue Cluster Information @ NEA 2013,,,,
Click here for more NEA information in OneMap,,,,
ue cases occur within 14 days and the homes of the dengue,,,,
"of cluster boundary, please click on the cluster locality.",,,,
ster. Each alert level is associated with a list of preventive,,,,
st dengue. There are 3 alert levels:,,,,
Alert Level,,,,
s Red,,,,
es Yellow,,,,
e next Green,,,,
Breakdown,,,,
Location No. of Dengue Cases,,,,
PINES AVENUE 5 (BLK 858),1,,,
PINES AVENUE 5 (BLK 860),4,,,
PINES AVENUE 5 (BLK 860B),1,,,
PINES AVENUE 5 (BLK 861),5,,,
PINES AVENUE 5 (BLK 861A),1,,,
TAMPINES AVENUE 8,2,,,
PINES AVENUE 8 (BLK 878),1,,,
PINES STREET 71 (BLK 707),1,,,
PINES STREET 71 (BLK 724),2,,,
PINES STREET 71 (BLK 725),2,,,
PINES STREET 71 (BLK 731),3,,,
